,id,timestamp,tweet_text,username,followers_count,location
2666,1.57577E+18,2022-09-30 09:01:08+00:00,Anggaran Subsidi yang diatur Perpres Menjadi Salah Satu Acuan Pemerintah Memilih Jalan Menaikkan Harga BBM Subsidi.  Papua Dukung #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/SH0SUClyPx,b1l4k4sm4r4,125,"Papua, Indonesia"
2667,1.57577E+18,2022-09-30 09:00:53+00:00,Harga BBM subsidi bukan ditentukan oleh Pertamina ... bila harga minyak dunia turun maka minyak non subsidi di pastikan juga akan turun hal ini berbeda dengan BBM subsidi yg harganya bukan di tentukan dari harga keekonomian tapi kebijakan Pemerintah .  #RealokasiSubsidiBBM https://t.co/3XBZ98Fcwn https://t.co/igphQ9V8ce,babegalak1,13538,
2668,1.57577E+18,2022-09-30 08:59:46+00:00,"Jangan slah paham memaknai kenaikan harga BBM Subsidi! Pemerintah menaikan hrga BBM krna berupaya mengendalikan pembatasan kuota, volume serta konsumen dr BBM bersubsidi tersebut. Dan BBM subsidi tdk dicabut, melainkan direalokasikan. #RealokasiSubsidiBBM https://t.co/EHKqmnaCDd https://t.co/chIv7VURVD",yeributkuy,5962,
2669,1.57577E+18,2022-09-30 08:47:32+00:00,Komisi VII DPR menyarankan pemerintah mengubah metode subsidi. Komisi VII melihat ada masyarakat yang salah paham memaknai kenaikan harga BBM subsidi.  @pertamina #RealokasiSubsidiBBM https://t.co/1dIiuM9sbC,advnc00,5745,indonesia
2670,1.57577E+18,2022-09-30 08:47:29+00:00,"Penyaluran BLT BBM saat ini sudah mencapai 95,6 persen. Selain BLT BBM pemerintah juga terus mempercepat penyaluran BSU. https://t.co/UsAtx4XnC5",FadilaAnang,18,
2671,1.57577E+18,2022-09-30 08:43:49+00:00,Pemerintah Mampu Jaga Ekonomi Di Tengah Penyesuian Harga BBM #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/G2DvpcxjXE,AtayaPranaya2,37,
2672,1.57577E+18,2022-09-30 08:43:07+00:00,"Presiden Jokowi sebut penyaluran BLT BBM telah capai 96,6 persen. Selain BLT BBM, pemerintah juga percepat penyaluran BSU https://t.co/S5KoOKaKXM",AlexSinaga999,12,
2673,1.57577E+18,2022-09-30 08:42:21+00:00,"kegiatan Baksos Sosial Serentak Polda Jateng Dampak Kenaikan BBM Bersubsidi Pemerintah Yang Dilaksanakan Ditpolairud Polda Jateng adalah sebagai berikut:  I. Waktu: Hari       : Jumat, 30 September                    2022 Pukul    : 08.00 s/d 11.00 wib Tempat https://t.co/l5Al7xCleZ",PolairJateng,123,
2674,1.57576E+18,2022-09-30 08:28:12+00:00,Penyesuaian Harga BBM Harus Diambil Pemerintah Agar Menahan Inflasi yang Dampak Biayanya Jauh Lebih Besar.  Papua Dukung #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/pSeilY4bgn,erfanjay4,143,"Papua, Indonesia"
2675,1.57576E+18,2022-09-30 08:27:36+00:00,"Penyesuaian Harga BBM, Langkah Pemerintah Hindari Krisis APBN.  Papua Dukung #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/pEYe4f4sj1",erfanjay4,143,"Papua, Indonesia"
2676,1.57576E+18,2022-09-30 08:27:12+00:00,Kebijakan Pemerintah Tepat Menyesuaikan Harga BBM.  Papua Dukung #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/9DpclRH06p,erfanjay4,143,"Papua, Indonesia"
2677,1.57576E+18,2022-09-30 08:26:54+00:00,Anggaran Subsidi yang diatur Perpres Menjadi Salah Satu Acuan Pemerintah Memilih Jalan Menaikkan Harga BBM Subsidi.  Papua Dukung #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/kWjQNoI8g5,erfanjay4,143,"Papua, Indonesia"
