Unnamed: 0,tweet_text,text
2254,"Dukung Kebijakan Pemerintah Menyesuaikan Harga BBM, agar dana subsidi dapat digunakan untuk sektor pendidikan kesehatan dan infrastruktur  #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran Sumatera Barat https://t.co/XuKneknibV","['dukung', 'bijak', 'perintah', 'sesuai', 'harga', 'bbm', 'agar', 'dana', 'subsidi', 'dapat', 'guna', 'untuk', 'sektor', 'didik', 'sehat', 'dan', 'infrastruktur', 'sumatera', 'barat']"
2255,"Dukung Kebijakan Pemerintah Menyesuaikan Harga BBM, agar dana subsidi dapat digunakan untuk sektor pendidikan kesehatan dan infrastruktur  #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran Sumatera Barat https://t.co/KQfVdua4hh","['dukung', 'bijak', 'perintah', 'sesuai', 'harga', 'bbm', 'agar', 'dana', 'subsidi', 'dapat', 'guna', 'untuk', 'sektor', 'didik', 'sehat', 'dan', 'infrastruktur', 'sumatera', 'barat']"
2256,"Dukung Kebijakan Pemerintah Menyesuaikan Harga BBM, agar dana subsidi dapat digunakan untuk sektor pendidikan kesehatan dan infrastruktur  #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran Sumatera Barat https://t.co/owfKM4f9XK","['dukung', 'bijak', 'perintah', 'sesuai', 'harga', 'bbm', 'agar', 'dana', 'subsidi', 'dapat', 'guna', 'untuk', 'sektor', 'didik', 'sehat', 'dan', 'infrastruktur', 'sumatera', 'barat']"
2257,"Dukung Kebijakan Pemerintah Menyesuaikan Harga BBM, agar dana subsidi dapat digunakan untuk sektor pendidikan kesehatan dan infrastruktur  #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran Sumatera Barat https://t.co/dlwtuL4lxB","['dukung', 'bijak', 'perintah', 'sesuai', 'harga', 'bbm', 'agar', 'dana', 'subsidi', 'dapat', 'guna', 'untuk', 'sektor', 'didik', 'sehat', 'dan', 'infrastruktur', 'sumatera', 'barat']"
2258,Pemerintah Pastikan penyaluran BLT BBM tepat sasaran. Rakyat indonesia dukung bansos BLT BBM karena tepat sasaran.  #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan Sumatera Barat https://t.co/GGON89zWFH,"['perintah', 'pasti', 'salur', 'blt', 'bbm', 'tepat', 'sasar', 'rakyat', 'indonesia', 'dukung', 'bansos', 'blt', 'bbm', 'karena', 'tepat', 'sasar', 'sumatera', 'barat']"
2259,"Nusa Tenggara Timur Info Bagi Kita Semua BLT BBM Tahap 2 Cair Bulan November , Pemerintah Sayang Masyarakat . #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan https://t.co/OGX9IxBj1d","['nusa', 'tenggara', 'timur', 'info', 'bagi', 'kita', 'semua', 'blt', 'bbm', 'tahap', 'cair', 'bulan', 'november', 'perintah', 'sayang', 'masyarakat']"
2260,Penyesuaian harga BBM diambil Pemerintah untuk menahan Inflasi #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran Sumatera Barat https://t.co/W5O6nRLlmm,"['sesuai', 'harga', 'bbm', 'ambil', 'perintah', 'untuk', 'tahan', 'inflasi', 'sumatera', 'barat']"
2261,Masyarakat Indonesia sangat mendukung kebijakan pemerintah melakukan penyesuaian harga BBM  Dukung penyesuaian harga BBM #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran -Sumatera Utara- https://t.co/h4Cf8uLtoJ,"['masyarakat', 'indonesia', 'sangat', 'dukung', 'bijak', 'perintah', 'laku', 'sesuai', 'harga', 'bbm', 'dukung', 'sesuai', 'harga', 'bbm', 'sumatera', 'utara']"
2262,Masyarakat Indonesia sangat mendukung kebijakan pemerintah melakukan penyesuaian harga BBM  Dukung penyesuaian harga BBM #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran -Sumatera Utara- https://t.co/N7V9XmjE6i,"['masyarakat', 'indonesia', 'sangat', 'dukung', 'bijak', 'perintah', 'laku', 'sesuai', 'harga', 'bbm', 'dukung', 'sesuai', 'harga', 'bbm', 'sumatera', 'utara']"
2263,Kebijakan pemerintah mengalihkan subsidi BBM ke BLT benar-benar sangat membantu perekonomian masyarakat. ðBanten #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran https://t.co/6VBxMXY5nJ,"['bijak', 'perintah', 'alih', 'subsidi', 'bbm', 'ke', 'blt', 'benar', 'benar', 'sangat', 'bantu', 'ekonomi', 'masyarakat', 'banten']"
2264,Masyarakat Indonesia sangat mendukung kebijakan pemerintah melakukan penyesuaian harga BBM  Dukung penyesuaian harga BBM #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran -Sumatera Utara- https://t.co/Xa8jMVdAHx,"['masyarakat', 'indonesia', 'sangat', 'dukung', 'bijak', 'perintah', 'laku', 'sesuai', 'harga', 'bbm', 'dukung', 'sesuai', 'harga', 'bbm', 'sumatera', 'utara']"
2265,Kebijakan Pemerintah sangatlah tepat untuk penyesuaian harga BBM #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran Sumatera Barat https://t.co/exP1RMTNfO,"['bijak', 'perintah', 'sangat', 'tepat', 'untuk', 'sesuai', 'harga', 'bbm', 'sumatera', 'barat']"
2266,Masyarakat Indonesia sangat mendukung kebijakan pemerintah melakukan penyesuaian harga BBM  Dukung penyesuaian harga BBM #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran -Sumatera Utara- https://t.co/CenYRIZJIR,"['masyarakat', 'indonesia', 'sangat', 'dukung', 'bijak', 'perintah', 'laku', 'sesuai', 'harga', 'bbm', 'dukung', 'sesuai', 'harga', 'bbm', 'sumatera', 'utara']"
2267,Masyarakat Indonesia sangat mendukung kebijakan pemerintah melakukan penyesuaian harga BBM  Dukung penyesuaian harga BBM #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran -Sumatera Utara- https://t.co/ys10ZGjM8Q,"['masyarakat', 'indonesia', 'sangat', 'dukung', 'bijak', 'perintah', 'laku', 'sesuai', 'harga', 'bbm', 'dukung', 'sesuai', 'harga', 'bbm', 'sumatera', 'utara']"
2268,BLT BBM bentuk kepedulian Pemerintah kepada masyarakat Kepulauan Bangka Belitung  #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan https://t.co/eM0ynHv5cD,"['blt', 'bbm', 'bentuk', 'peduli', 'perintah', 'kepada', 'masyarakat', 'pulau', 'bangka', 'belitung']"
2269,Dukung Pemerintah Penyesuaian harga BBM  #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran Sumatera Barat https://t.co/yBrhtva2JO,"['dukung', 'perintah', 'sesuai', 'harga', 'bbm', 'sumatera', 'barat']"
2270,Semua ekonom setuju kebijakan bantalan sosial BBM bentuk keberpihakan pemerintah pada rakyat   #JokowiHebat #JokowiPresidenku #JokowiBapakInfrastruktur #PembangunanUntukRakyat #PresidenJokowi Jambi Ku https://t.co/5j1pwZ1U1M,"['semua', 'ekonom', 'tuju', 'bijak', 'bantal', 'sosial', 'bbm', 'bentuk', 'pihak', 'perintah', 'pada', 'rakyat', 'jambi', 'ku']"
2271,Pemerintah Mampu Jaga Ekonomi Di tengah Penyesuaian Harga BBM #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran Sumatera Barat https://t.co/C3UVGQzert,"['perintah', 'mampu', 'jaga', 'ekonomi', 'di', 'tengah', 'sesuai', 'harga', 'bbm', 'sumatera', 'barat']"
2272,Pemerintah Lindungi masyarakat dengan penyaluran BLT BBM. Rakyat indonesia dukung bansos BLT BBM karena tepat sasaran.  #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan Sumatera Barat https://t.co/AgEunQxGBk,"['perintah', 'lindung', 'masyarakat', 'dengan', 'salur', 'blt', 'bbm', 'rakyat', 'indonesia', 'dukung', 'bansos', 'blt', 'bbm', 'karena', 'tepat', 'sasar', 'sumatera', 'barat']"
2273,Penyesuaian harga BBM pemerintah tetap lindungi rakyat #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran Kepulauan Riau https://t.co/ox1ifKFA6V,"['sesuai', 'harga', 'bbm', 'perintah', 'tetap', 'lindung', 'rakyat', 'pulau', 'riau']"
2274,Dukung Pemerintah Penyesuaian harga BBM  #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran Sumatera Barat https://t.co/I73rfXBymf,"['dukung', 'perintah', 'sesuai', 'harga', 'bbm', 'sumatera', 'barat']"
2275,Dukung Pemerintah Penyesuaian harga BBM  #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran Sumatera Barat https://t.co/kDCckhu7gP,"['dukung', 'perintah', 'sesuai', 'harga', 'bbm', 'sumatera', 'barat']"
2276,Pemerintah Mampu Jaga Ekonomi Di tengah Penyesuaian Harga BBM #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran Sumatera Barat https://t.co/SVRYN1RivK,"['perintah', 'mampu', 'jaga', 'ekonomi', 'di', 'tengah', 'sesuai', 'harga', 'bbm', 'sumatera', 'barat']"
2277,Pemerintah berkomitmen akan tetap menjaga daya beli masyarakat kurang mampu dengan adanya kebijakan penyesuaian BBM   Kepulauan Bangka Belitung  #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/wA08XnTHQV,"['perintah', 'komitmen', 'akan', 'tetap', 'jaga', 'daya', 'beli', 'masyarakat', 'kurang', 'mampu', 'dengan', 'ada', 'bijak', 'sesuai', 'bbm', 'pulau', 'bangka', 'belitung']"
2278,Presiden jokowi meninjau langsung penyaluran BLT BBM. Kami dukung terus pak program pemerintah Banten #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan https://t.co/HWRcw0MpT0,"['presiden', 'jokowi', 'tinjau', 'langsung', 'salur', 'blt', 'bbm', 'kami', 'dukung', 'terus', 'pak', 'program', 'perintah', 'banten']"
2279,"Penyaluran BLT BBM sudah hampir 100 persen, kinerja pemerintah luar biasa bagus Banten #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan https://t.co/BcRvGykRSJ","['salur', 'blt', 'bbm', 'sudah', 'hampir', 'persen', 'kerja', 'perintah', 'luar', 'biasa', 'bagus', 'banten']"
2280,Dengan langkah penyesuaian BBM secara tidak langsung Pemerintah telah menyelamatkan hal masyarakat kurang mampu ðª  Kepulauan Bangka Belitung  #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/p0OPJ762CB,"['dengan', 'langkah', 'sesuai', 'bbm', 'cara', 'tidak', 'langsung', 'perintah', 'telah', 'selamat', 'hal', 'masyarakat', 'kurang', 'mampu', 'pulau', 'bangka', 'belitung']"
2281,Alihsubsidi BBM bentuk pemerintah lebih prioritaskan masyarakat kurang mampu di Bali  #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/OICYZCSSPt,"['alihsubsidi', 'bbm', 'bentuk', 'perintah', 'lebih', 'prioritas', 'masyarakat', 'kurang', 'mampu', 'di', 'bal']"
2282,Kebijakan pemerintah melakukan penyesuaian harga BBM sangat tepat dalam menjaga stabilitas ekonomi indonesia  Dukung penyesuaian harga BBM #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran -Sumatera Utara- https://t.co/O8zY6xQHTb,"['bijak', 'perintah', 'laku', 'sesuai', 'harga', 'bbm', 'sangat', 'tepat', 'dalam', 'jaga', 'stabilitas', 'ekonomi', 'indonesia', 'dukung', 'sesuai', 'harga', 'bbm', 'sumatera', 'utara']"
